time,flux,flux_err
2459072.266027,0.999946573966435,0.001082
2459072.267244,0.9974825739664351,0.001103
2459072.268457,1.0010385739664351,0.001085
2459072.269671,0.997718573966435,0.001068
2459072.270884,0.9989355739664351,0.001063
2459072.272094,0.9964495739664351,0.001058
2459072.273306,1.0010095739664353,0.001059
2459072.274524,1.0018045739664352,0.00106
2459072.27574,0.9982105739664351,0.00106
2459072.276956,0.9954765739664351,0.001066
2459072.278166,1.0008295739664352,0.001069
2459072.279378,1.000367573966435,0.001073
2459072.280595,0.9988665739664351,0.001071
2459072.281806,1.0012625739664351,0.001065
2459072.283019,0.9985725739664351,0.001072
2459072.284231,1.0007535739664353,0.001071
2459072.285448,1.0009685739664351,0.001072
2459072.286661,0.9993655739664351,0.001068
2459072.287872,1.0037085739664353,0.001068
2459072.289083,1.0090595739664352,0.001067
2459072.290294,1.0020125739664352,0.001056
2459072.291509,1.0024985739664352,0.001055
2459072.292726,1.004183573966435,0.001062
2459072.293937,0.997973573966435,0.001074
2459072.295149,1.004102573966435,0.001081
2459072.29636,1.0046775739664353,0.00109
2459072.297573,1.0017615739664352,0.001077
2459072.298784,0.998668573966435,0.001078
2459072.299996,1.0016095739664352,0.001077
2459072.301208,1.0044445739664352,0.001072
2459072.302421,0.9981215739664351,0.001065
2459072.303637,1.003330573966435,0.001056
2459072.304849,0.9998435739664351,0.001059
2459072.306061,1.0001395739664352,0.001072
2459072.307273,1.000372573966435,0.001076
2459072.308493,0.9990375739664351,0.001083
2459072.309705,0.9956135739664351,0.00108
2459072.310916,0.9987865739664351,0.001083
2459072.312129,0.9981875739664351,0.001083
2459072.313343,0.9997335739664351,0.001079
2459072.314554,1.001797573966435,0.001072
2459072.315766,1.0015065739664353,0.001068
2459072.316978,0.9968855739664351,0.001077
2459072.318192,1.0010095739664353,0.001071
2459072.319408,1.0017845739664353,0.001079
2459072.320623,0.999309573966435,0.001071
2459072.321834,0.999305573966435,0.001066
2459072.323051,1.0040645739664351,0.001072
2459072.324268,1.0028335739664351,0.001067
2459072.325485,1.000324573966435,0.001075
2459072.326695,1.0057025739664351,0.001075
2459072.327908,1.0024925739664352,0.001078
2459072.329119,1.0028175739664351,0.001076
2459072.330332,1.0008585739664353,0.001078
2459072.331544,0.997969573966435,0.001077
2459072.332756,1.0033085739664351,0.001064
2459072.333969,0.998417573966435,0.00106
2459072.33518,0.9991095739664351,0.001061
2459072.336391,1.0014615739664352,0.001063
2459072.337603,1.0001525739664352,0.001061
2459072.338816,1.0006075739664353,0.00108
2459072.340031,1.0000925739664352,0.001085
2459072.341248,1.0011445739664353,0.001098
2459072.342458,0.9998165739664351,0.001102
2459072.343668,0.9967965739664351,0.001079
2459072.34488,1.0007685739664351,0.001105
2459072.346092,1.003214573966435,0.001097
2459072.347302,0.9977655739664351,0.001081
2459072.348513,0.9994775739664351,0.001083
2459072.349726,0.9975575739664351,0.00108
2459072.350941,1.0007805739664353,0.001091
2459072.352153,0.9971535739664351,0.001086
2459072.35337,1.0020275739664353,0.001095
2459072.354582,0.9984575739664351,0.001097
2459072.355794,1.0033745739664353,0.001089
2459072.357008,1.0006005739664352,0.001086
2459072.358221,0.9980015739664351,0.001084
2459072.359431,0.9989285739664351,0.001085
2459072.360644,1.0032125739664353,0.001083
2459072.361857,0.9983755739664351,0.001073
2459072.363069,1.0027255739664351,0.001078
2459072.364281,1.002793573966435,0.001082
2459072.365493,1.0005205739664351,0.00108
2459072.366704,1.0007425739664353,0.0011
2459072.367914,1.0000875739664352,0.001085
2459072.369125,0.9955135739664351,0.001076
2459072.370337,0.9981555739664351,0.001077
2459072.371549,1.0008405739664352,0.001097
2459072.372759,1.005025573966435,0.001105
2459072.373969,1.0054795739664353,0.001116
2459072.37518,1.0042305739664352,0.001104
2459072.37639,1.0026455739664353,0.001096
2459072.377601,1.0043495739664352,0.001105
2459072.378811,1.0020365739664352,0.001097
2459072.380021,1.0019745739664352,0.001093
2459072.381233,0.9997075739664351,0.00109
2459072.382442,1.0011055739664352,0.001082
2459072.383654,1.0020885739664351,0.001082
2459072.384865,0.996243573966435,0.001072
2459072.386077,1.0022155739664351,0.001065
2459072.387288,0.9999715739664351,0.001064
2459072.388499,1.0012075739664352,0.001065
2459072.389711,1.000194573966435,0.001075
2459072.390924,0.9975635739664351,0.001093
2459072.392134,0.9999355739664351,0.001062
2459072.393345,1.0033905739664353,0.001061
2459072.394557,1.0021535739664351,0.001056
2459072.39577,1.0012805739664352,0.001057
2459072.396982,0.9992465739664351,0.001061
2459072.398194,1.0003415739664352,0.001057
2459072.399405,0.9988785739664351,0.001065
2459072.400617,1.0006615739664353,0.001051
2459072.401828,0.996521573966435,0.001051
2459072.403041,1.0040635739664352,0.001071
2459072.404252,1.0029645739664352,0.001061
2459072.405463,1.0039105739664351,0.001076
2459072.406675,1.0009835739664352,0.001068
2459072.407887,1.0010745739664353,0.001062
2459072.409099,0.9990475739664351,0.001061
2459072.410311,1.0016995739664352,0.001059
2459072.411523,0.9994085739664351,0.001052
2459072.412733,1.000143573966435,0.001054
2459072.413945,1.0006975739664352,0.001052
2459072.415156,1.0011535739664352,0.001055
